2019-05-20 11:10:20.158 INFO  DefaultFactory Logging to 'C:\Users\karyn\OneDrive\Рабочий стол\RetailDemo\Billing\bin\Debug\' with level Info
2019-05-20 11:28:46.835 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.867 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.908 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.939 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:46.986 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.054 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.101 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.138 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.179 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.219 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.250 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.281 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.313 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.344 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
2019-05-20 11:28:47.375 INFO  Billing.OrderPlacedHandler Received OrderPlaced, OrderId = 23872873-7dc1-4f86-9655-e4c97c86c635 - Charging credit card...
